id,origem,destino,localizacao,escalas,tempo_desde_ultimo_scan,alertas_sistema,lugar_bagagem,estado,tipo_bagagem,status_voo,distancia_percorrida
629,Rio de Janeiro,Madrid,Madrid,Porto,16,Nao,Cabine,Em trânsito,Normal,Atrasado,8159
630,Hong Kong,Istambul,Istambul,Dubai;Bangkok,35,Nao,Cabine,Entregue,Normal,Atrasado,4627
631,Buenos Aires,Madrid,Hong Kong,Barcelona;Dubai;Berlim,114,Sim,Porão,Perdida,Normal,Normal,3380
632,Moscovo,Roma,Porto,Porto;Sydney,44,Nao,Porão,Em trânsito,Normal,Atrasado,7858
633,Los Angeles,Roma,Roma,Cairo;Rio de Janeiro,37,Nao,Cabine,Entregue,Normal,Normal,1563
634,Madrid,Dubai,Dubai,Lisboa;London;Madrid,39,Nao,Porão,Entregue,Normal,Normal,469
635,São Paulo,Roma,Roma,Los Angeles;Funchal,56,Nao,Cabine,Entregue,Normal,Cancelado,412
636,Barcelona,Nova Iorque,Nova Iorque,Barcelona;Roma,107,Sim,Cabine,Perdida,Normal,Normal,6811
637,Madrid,Nova Iorque,Rio de Janeiro,Rio de Janeiro;São Paulo;Funchal,33,Sim,Porão,Em trânsito,Valiosa,Normal,2524
638,Roma,Moscovo,Moscovo,São Paulo;Roma,25,Nao,Porão,Entregue,Normal,Cancelado,572
639,Barcelona,Madrid,Madrid,,63,Nao,Porão,Entregue,Frágil,Atrasado,1736
640,Nova Iorque,São Paulo,São Paulo,,64,Nao,Cabine,Entregue,Valiosa,Atrasado,8061
641,Funchal,Auckland,Auckland,,156,Sim,Cabine,Perdida,Normal,Normal,532
642,Los Angeles,Tóquio,Tóquio,Funchal,45,Nao,Cabine,Entregue,Valiosa,Normal,2112
643,Madrid,Lisboa,Lisboa,Funchal,46,Nao,Porão,Entregue,Normal,Cancelado,6089
644,Berlim,London,London,,67,Nao,Porão,Entregue,Normal,Atrasado,4671
645,Lisboa,Tóquio,Tóquio,Hong Kong;Auckland;Nova Iorque,135,Sim,Cabine,Perdida,Normal,Normal,1173
646,Porto,Cairo,Bangkok,Rio de Janeiro;Bangkok;Los Angeles,14,Nao,Porão,Em trânsito,Normal,Normal,2588
647,London,Madrid,Madrid,Porto;Funchal;Paris,22,Nao,Cabine,Em trânsito,Normal,Normal,817
648,London,Los Angeles,Los Angeles,Porto,32,Nao,Porão,Entregue,Normal,Normal,6417
649,Funchal,Hong Kong,Hong Kong,Moscovo;Madrid;Funchal,27,Nao,Porão,Entregue,Normal,Normal,9867
650,Hong Kong,Auckland,Auckland,,20,Nao,Porão,Entregue,Normal,Cancelado,655
651,Porto,Tóquio,Tóquio,London;Lisboa,14,Sim,Cabine,Em trânsito,Frágil,Atrasado,6595
652,Paris,Auckland,Auckland,Dubai;Los Angeles,14,Nao,Cabine,Entregue,Frágil,Atrasado,7870
653,Nova Iorque,Buenos Aires,Lisboa,Bangkok;Moscovo,129,Sim,Porão,Perdida,Normal,Atrasado,3196
654,Dubai,Los Angeles,Paris,São Paulo;Dubai,194,Sim,Porão,Perdida,Frágil,Normal,4054
655,Los Angeles,Madrid,Madrid,London;Hong Kong,188,Sim,Cabine,Perdida,Normal,Normal,7825
656,Berlim,Dubai,Dubai,Lisboa;Nova Iorque;Istambul,196,Sim,Cabine,Perdida,Frágil,Atrasado,8741
657,Bangkok,Berlim,Berlim,Madrid;Nova Iorque,16,Nao,Porão,Entregue,Normal,Normal,5089
658,Porto,Barcelona,Barcelona,,43,Nao,Porão,Entregue,Frágil,Atrasado,3134
659,Auckland,Lisboa,Dubai,Dubai;Bangkok;Funchal,7,Nao,Porão,Em trânsito,Normal,Normal,2576
660,Porto,Nova Iorque,Auckland,Auckland;Moscovo;Berlim,30,Nao,Porão,Em trânsito,Normal,Normal,9396
661,Auckland,Lisboa,Lisboa,Rio de Janeiro,109,Sim,Cabine,Perdida,Normal,Atrasado,3327
662,London,São Paulo,São Paulo,,175,Sim,Cabine,Perdida,Normal,Normal,9118
663,Rio de Janeiro,Porto,Buenos Aires,Buenos Aires,18,Nao,Porão,Em trânsito,Normal,Normal,5346
664,Sydney,Auckland,Auckland,Istambul,127,Sim,Cabine,Perdida,Normal,Atrasado,3979
665,Tóquio,London,London,,19,Nao,Cabine,Entregue,Normal,Atrasado,4593
666,Buenos Aires,Berlim,Berlim,Cairo;Tóquio,30,Nao,Porão,Entregue,Valiosa,Normal,8788
667,Hong Kong,Lisboa,Lisboa,Sydney,175,Sim,Cabine,Perdida,Normal,Normal,3902
668,Tóquio,Bangkok,Roma,Istambul;Roma;Barcelona,25,Nao,Porão,Em trânsito,Normal,Normal,7794
669,Rio de Janeiro,Sydney,Sydney,Berlim,59,Nao,Porão,Entregue,Frágil,Normal,1556
670,Sydney,Berlim,Berlim,,153,Sim,Cabine,Perdida,Frágil,Atrasado,6657
671,Roma,Bangkok,Paris,Dubai;Auckland;Roma,102,Sim,Porão,Perdida,Normal,Normal,2223
672,Lisboa,Dubai,Dubai,,32,Nao,Cabine,Entregue,Normal,Cancelado,1997
673,Funchal,Rio de Janeiro,Rio de Janeiro,Hong Kong;Porto;Los Angeles,36,Nao,Porão,Entregue,Normal,Atrasado,6765
674,Barcelona,Los Angeles,Los Angeles,,54,Nao,Cabine,Entregue,Frágil,Atrasado,6151
675,Paris,Hong Kong,London,Barcelona,164,Sim,Porão,Perdida,Frágil,Normal,4590
676,Madrid,Paris,Bangkok,Cairo;Los Angeles,198,Sim,Porão,Perdida,Frágil,Atrasado,2860
677,Porto,London,Madrid,Cairo;Berlim,126,Sim,Porão,Perdida,Frágil,Normal,5411
678,London,Nova Iorque,Hong Kong,Dubai;Buenos Aires,169,Sim,Porão,Perdida,Normal,Atrasado,5635
679,Roma,Moscovo,Moscovo,,53,Nao,Cabine,Entregue,Frágil,Atrasado,4486
680,Lisboa,Moscovo,Moscovo,Buenos Aires;Rio de Janeiro,19,Nao,Porão,Entregue,Frágil,Cancelado,9348
681,Barcelona,São Paulo,São Paulo,,56,Nao,Cabine,Entregue,Normal,Atrasado,5566
682,Nova Iorque,Hong Kong,Hong Kong,,46,Nao,Porão,Entregue,Normal,Atrasado,6197
683,Rio de Janeiro,Dubai,Dubai,Auckland,24,Sim,Cabine,Em trânsito,Valiosa,Atrasado,4554
684,Porto,Dubai,Dubai,Tóquio,23,Sim,Cabine,Em trânsito,Frágil,Atrasado,4543
685,São Paulo,Berlim,Berlim,Auckland;Lisboa,57,Nao,Cabine,Entregue,Normal,Atrasado,7317
686,Barcelona,Roma,Roma,Funchal,181,Sim,Cabine,Perdida,Normal,Atrasado,4477
687,Istambul,Auckland,Rio de Janeiro,,103,Sim,Porão,Perdida,Normal,Normal,9608
688,Berlim,Barcelona,Nova Iorque,,196,Sim,Porão,Perdida,Valiosa,Normal,3463
689,Porto,Madrid,London,London;São Paulo;Moscovo,17,Sim,Porão,Em trânsito,Frágil,Atrasado,6607
690,Rio de Janeiro,Berlim,Auckland,Moscovo;Auckland;Roma,21,Nao,Porão,Em trânsito,Normal,Normal,3143
691,Dubai,Funchal,Funchal,,35,Nao,Porão,Entregue,Normal,Cancelado,3107
692,Funchal,Rio de Janeiro,Rio de Janeiro,Nova Iorque;Auckland;Funchal,42,Nao,Cabine,Entregue,Valiosa,Normal,9190
693,Istambul,Paris,Paris,Auckland,61,Nao,Porão,Entregue,Normal,Cancelado,5337
694,Paris,Tóquio,Tóquio,Hong Kong,15,Nao,Porão,Entregue,Normal,Atrasado,4708
695,Cairo,Los Angeles,Los Angeles,Porto;Sydney;London,18,Sim,Cabine,Em trânsito,Valiosa,Atrasado,172
696,Auckland,Dubai,Funchal,Barcelona;Cairo,153,Sim,Porão,Perdida,Normal,Atrasado,4217
697,Tóquio,Buenos Aires,Hong Kong,Berlim;Lisboa;Los Angeles,139,Sim,Porão,Perdida,Normal,Atrasado,1623
698,London,Buenos Aires,Buenos Aires,Paris;Bangkok,27,Sim,Cabine,Em trânsito,Valiosa,Atrasado,6591
699,Bangkok,Istambul,Hong Kong,London,124,Sim,Porão,Perdida,Normal,Atrasado,9289
700,São Paulo,Moscovo,Moscovo,Buenos Aires;Los Angeles;Madrid,64,Nao,Porão,Entregue,Normal,Normal,4294
701,Istambul,Barcelona,Barcelona,Sydney,17,Nao,Cabine,Entregue,Normal,Cancelado,8415
702,Roma,Rio de Janeiro,Rio de Janeiro,Roma;Cairo,10,Nao,Cabine,Entregue,Normal,Atrasado,4879
703,Los Angeles,Tóquio,Tóquio,Funchal;Istambul;Buenos Aires,51,Nao,Porão,Entregue,Valiosa,Atrasado,4852
704,Madrid,Moscovo,Moscovo,Barcelona;Hong Kong,33,Nao,Cabine,Em trânsito,Normal,Normal,3787
705,Barcelona,Funchal,Porto,,104,Sim,Porão,Perdida,Frágil,Normal,266
706,Funchal,Tóquio,Tóquio,Bangkok;Barcelona;Porto,49,Nao,Porão,Entregue,Frágil,Atrasado,1195
707,Lisboa,Porto,Porto,,19,Nao,Porão,Entregue,Normal,Atrasado,6083
708,Cairo,Sydney,Sydney,Los Angeles;Hong Kong;Funchal,155,Sim,Cabine,Perdida,Normal,Atrasado,3038
709,Porto,Madrid,Madrid,,56,Nao,Porão,Entregue,Normal,Cancelado,1041
710,Rio de Janeiro,Sydney,Sydney,London,13,Nao,Porão,Entregue,Valiosa,Cancelado,3446
711,Sydney,Roma,Roma,Nova Iorque,64,Nao,Porão,Entregue,Frágil,Atrasado,2769
712,Barcelona,Auckland,Auckland,Bangkok;Hong Kong;Berlim,103,Sim,Cabine,Perdida,Normal,Atrasado,4044
713,Madrid,Bangkok,Bangkok,São Paulo;Funchal;Nova Iorque,35,Nao,Cabine,Entregue,Normal,Cancelado,761
714,Nova Iorque,London,Berlim,Berlim,14,Nao,Porão,Em trânsito,Normal,Normal,8035
715,Buenos Aires,Tóquio,Nova Iorque,Madrid,100,Sim,Porão,Perdida,Normal,Normal,1408
716,Paris,Porto,Moscovo,,182,Sim,Porão,Perdida,Frágil,Atrasado,2745
717,Hong Kong,São Paulo,London,Moscovo;Nova Iorque;Dubai,136,Sim,Porão,Perdida,Normal,Normal,4736
718,Paris,Buenos Aires,Buenos Aires,Berlim,133,Sim,Cabine,Perdida,Frágil,Normal,7125
719,Dubai,Funchal,Funchal,Dubai,28,Nao,Cabine,Entregue,Normal,Normal,9842
720,São Paulo,Auckland,Berlim,Rio de Janeiro;London;Bangkok,126,Sim,Porão,Perdida,Frágil,Atrasado,2188
721,Buenos Aires,Los Angeles,Los Angeles,Moscovo,49,Nao,Porão,Entregue,Valiosa,Atrasado,4533
722,Dubai,Moscovo,Moscovo,Sydney;São Paulo,28,Nao,Porão,Entregue,Normal,Atrasado,2550
723,Auckland,Madrid,Buenos Aires,Dubai,130,Sim,Porão,Perdida,Frágil,Atrasado,2428
724,London,Tóquio,Porto,Porto;Los Angeles;Hong Kong,33,Nao,Porão,Em trânsito,Normal,Normal,3369
725,São Paulo,Istambul,São Paulo,Madrid;Sydney;São Paulo,33,Sim,Porão,Em trânsito,Frágil,Atrasado,3132
726,São Paulo,Bangkok,Sydney,Funchal;Tóquio;Porto,179,Sim,Porão,Perdida,Frágil,Normal,9385
727,Nova Iorque,Bangkok,Barcelona,São Paulo,198,Sim,Porão,Perdida,Normal,Atrasado,7338
728,São Paulo,Buenos Aires,Cairo,Moscovo;Cairo,19,Nao,Porão,Em trânsito,Normal,Atrasado,4583
729,Roma,Madrid,London,Rio de Janeiro;Paris,116,Sim,Porão,Perdida,Frágil,Atrasado,5246
730,Paris,Rio de Janeiro,Hong Kong,,140,Sim,Porão,Perdida,Normal,Normal,3757
731,Bangkok,Berlim,Moscovo,São Paulo;Bangkok;Los Angeles,170,Sim,Porão,Perdida,Normal,Normal,3862
732,Berlim,Madrid,Rio de Janeiro,Roma,150,Sim,Porão,Perdida,Normal,Normal,9071
733,Bangkok,Lisboa,Lisboa,Funchal;Madrid;Los Angeles,23,Sim,Cabine,Em trânsito,Frágil,Atrasado,5158
734,Cairo,Rio de Janeiro,Sydney,Moscovo;Dubai;Nova Iorque,126,Sim,Porão,Perdida,Normal,Atrasado,8204
735,Moscovo,Istambul,Istambul,,55,Nao,Cabine,Entregue,Normal,Atrasado,1096
736,Sydney,Porto,Porto,Paris;Sydney;Madrid,54,Nao,Porão,Entregue,Normal,Atrasado,5830
737,Los Angeles,Sydney,Rio de Janeiro,Istambul;Lisboa;Dubai,104,Sim,Porão,Perdida,Normal,Atrasado,3176
738,Barcelona,Rio de Janeiro,Rio de Janeiro,Los Angeles;Nova Iorque;São Paulo,33,Nao,Porão,Entregue,Normal,Atrasado,1063
739,London,Moscovo,Moscovo,Sydney;Buenos Aires,33,Nao,Porão,Entregue,Normal,Cancelado,9521
740,Bangkok,Los Angeles,Los Angeles,London,46,Nao,Porão,Entregue,Frágil,Cancelado,236
741,London,Madrid,Nova Iorque,Istambul,175,Sim,Porão,Perdida,Normal,Normal,4940
742,Istambul,Madrid,Madrid,Moscovo;São Paulo;Buenos Aires,19,Nao,Cabine,Entregue,Valiosa,Atrasado,6215
743,Bangkok,Berlim,Los Angeles,Tóquio;Los Angeles;Rio de Janeiro,21,Nao,Porão,Em trânsito,Normal,Normal,3660
744,Dubai,Madrid,Sydney,Cairo;Auckland;Sydney,19,Sim,Porão,Em trânsito,Valiosa,Atrasado,6112
745,Bangkok,Istambul,Istambul,Hong Kong;Auckland;Rio de Janeiro,105,Sim,Cabine,Perdida,Normal,Atrasado,9887
746,Rio de Janeiro,Los Angeles,Los Angeles,Dubai;Paris;Sydney,47,Nao,Cabine,Entregue,Normal,Cancelado,7568
747,Sydney,Barcelona,Barcelona,,68,Nao,Porão,Entregue,Normal,Atrasado,9672
748,Rio de Janeiro,Dubai,São Paulo,,119,Sim,Porão,Perdida,Frágil,Normal,3228
749,Lisboa,Berlim,Lisboa,,122,Sim,Porão,Perdida,Normal,Normal,9741
750,Paris,London,London,,58,Nao,Porão,Entregue,Normal,Atrasado,5340
751,Nova Iorque,Istambul,Istambul,,27,Nao,Porão,Entregue,Frágil,Atrasado,8998
752,Hong Kong,Istambul,Istambul,Berlim;Madrid,25,Nao,Cabine,Em trânsito,Normal,Normal,869
753,Roma,Barcelona,Paris,,182,Sim,Porão,Perdida,Frágil,Normal,7058
754,Los Angeles,Bangkok,Bangkok,Roma,45,Nao,Porão,Entregue,Valiosa,Atrasado,1364
755,Rio de Janeiro,Madrid,Madrid,,41,Nao,Porão,Entregue,Frágil,Normal,4651
756,Roma,Dubai,Dubai,,32,Nao,Porão,Entregue,Frágil,Normal,5185
757,Auckland,Moscovo,Moscovo,Barcelona;Dubai,35,Nao,Cabine,Entregue,Valiosa,Cancelado,5943
758,Auckland,Buenos Aires,Dubai,Moscovo;Dubai,21,Nao,Porão,Em trânsito,Normal,Normal,2216
759,Barcelona,Funchal,Dubai,,138,Sim,Porão,Perdida,Normal,Atrasado,986
760,Auckland,São Paulo,Tóquio,Cairo;Tóquio,30,Sim,Porão,Em trânsito,Frágil,Normal,4847
761,Berlim,Hong Kong,Hong Kong,Rio de Janeiro,24,Nao,Porão,Entregue,Frágil,Normal,2665
762,Bangkok,Nova Iorque,Nova Iorque,Paris;Dubai;Barcelona,35,Nao,Cabine,Entregue,Normal,Normal,1980
763,Sydney,Auckland,Auckland,,49,Nao,Porão,Entregue,Normal,Cancelado,149
764,Funchal,Berlim,Berlim,Los Angeles,60,Nao,Porão,Entregue,Valiosa,Atrasado,2514
765,Paris,Porto,Dubai,Nova Iorque;Auckland;Berlim,162,Sim,Porão,Perdida,Valiosa,Atrasado,5578
766,Berlim,Rio de Janeiro,Rio de Janeiro,Istambul;Paris,12,Nao,Porão,Entregue,Frágil,Atrasado,8983
767,Barcelona,Tóquio,Istambul,Istambul;Paris,32,Sim,Porão,Em trânsito,Frágil,Normal,167
768,Hong Kong,Funchal,London,São Paulo;Moscovo,159,Sim,Porão,Perdida,Frágil,Atrasado,6991
769,Cairo,Berlim,Berlim,,69,Nao,Cabine,Entregue,Normal,Cancelado,903
770,Cairo,Istambul,Istambul,São Paulo,51,Nao,Porão,Entregue,Frágil,Atrasado,7838
771,Berlim,Rio de Janeiro,Rio de Janeiro,Tóquio;São Paulo,57,Nao,Porão,Entregue,Normal,Normal,9681
772,Barcelona,Los Angeles,Los Angeles,,69,Nao,Porão,Entregue,Frágil,Atrasado,5904
773,São Paulo,Barcelona,Barcelona,Tóquio;Lisboa;São Paulo,40,Nao,Porão,Entregue,Normal,Normal,913
774,Los Angeles,Rio de Janeiro,Nova Iorque,Lisboa;Istambul;Roma,145,Sim,Porão,Perdida,Normal,Atrasado,1923
775,Lisboa,Tóquio,Tóquio,,71,Nao,Porão,Entregue,Normal,Cancelado,8752
776,Paris,Rio de Janeiro,Los Angeles,São Paulo;Tóquio,136,Sim,Porão,Perdida,Frágil,Atrasado,7148
777,Tóquio,Paris,Barcelona,Funchal,135,Sim,Porão,Perdida,Frágil,Atrasado,1386
778,Los Angeles,Istambul,Istambul,,68,Nao,Cabine,Entregue,Frágil,Normal,6602
779,Dubai,Lisboa,Moscovo,Funchal;Moscovo,23,Nao,Porão,Em trânsito,Normal,Atrasado,3265
780,Moscovo,Dubai,Barcelona,Barcelona;Bangkok,16,Nao,Porão,Em trânsito,Normal,Normal,8632
781,Cairo,Porto,Porto,Nova Iorque;Buenos Aires;Barcelona,45,Nao,Cabine,Entregue,Normal,Normal,2490
782,Sydney,Moscovo,Moscovo,Barcelona,59,Nao,Porão,Entregue,Frágil,Normal,9585
783,Paris,London,London,,63,Nao,Porão,Entregue,Normal,Cancelado,8855
784,Buenos Aires,Funchal,Bangkok,Bangkok,24,Sim,Porão,Em trânsito,Frágil,Atrasado,6866
785,Buenos Aires,Los Angeles,Los Angeles,,21,Nao,Porão,Entregue,Normal,Normal,8532
786,São Paulo,Rio de Janeiro,Rio de Janeiro,Los Angeles,12,Nao,Cabine,Entregue,Normal,Cancelado,1452
787,Moscovo,São Paulo,São Paulo,Hong Kong;Lisboa,32,Nao,Cabine,Entregue,Frágil,Cancelado,8737
788,Paris,São Paulo,São Paulo,Buenos Aires;Madrid;Roma,53,Nao,Porão,Entregue,Frágil,Normal,8632
789,Cairo,Lisboa,Hong Kong,Nova Iorque;Roma;Madrid,192,Sim,Porão,Perdida,Frágil,Atrasado,5943
790,Funchal,Barcelona,Barcelona,,20,Nao,Cabine,Entregue,Normal,Atrasado,5837
791,Nova Iorque,Rio de Janeiro,Rio de Janeiro,London;Sydney,157,Sim,Cabine,Perdida,Valiosa,Normal,3051
792,Rio de Janeiro,Paris,Paris,Funchal;Sydney,178,Sim,Cabine,Perdida,Normal,Atrasado,7307
793,London,Paris,Paris,Los Angeles;London,12,Nao,Porão,Entregue,Frágil,Cancelado,2082
794,Cairo,Lisboa,Cairo,London,128,Sim,Porão,Perdida,Valiosa,Atrasado,4096
795,Nova Iorque,Sydney,Sydney,Roma;Rio de Janeiro;London,26,Nao,Porão,Entregue,Valiosa,Atrasado,3023
796,Funchal,Los Angeles,Los Angeles,Dubai,26,Nao,Cabine,Entregue,Normal,Atrasado,3769
797,Roma,Berlim,Berlim,Barcelona;Auckland;Istambul,143,Sim,Cabine,Perdida,Normal,Normal,5494
798,Barcelona,Funchal,Funchal,Auckland;Porto,64,Nao,Porão,Entregue,Normal,Atrasado,7335
799,Nova Iorque,Auckland,Auckland,Cairo;Istambul,143,Sim,Cabine,Perdida,Normal,Atrasado,8789
800,Nova Iorque,Paris,Paris,,58,Nao,Cabine,Entregue,Normal,Atrasado,5934
801,Hong Kong,São Paulo,São Paulo,Paris;Barcelona,193,Sim,Cabine,Perdida,Normal,Normal,8447
802,Sydney,Paris,Barcelona,São Paulo;Barcelona,28,Nao,Porão,Em trânsito,Normal,Normal,1828
803,Berlim,Bangkok,Bangkok,,33,Nao,Porão,Entregue,Frágil,Cancelado,8701
804,Lisboa,Sydney,Sydney,,132,Sim,Cabine,Perdida,Normal,Normal,7015
805,Tóquio,Sydney,Sydney,São Paulo;Roma;Rio de Janeiro,133,Sim,Cabine,Perdida,Normal,Normal,1538
806,Tóquio,Moscovo,Moscovo,Paris;Funchal;Rio de Janeiro,65,Nao,Porão,Entregue,Frágil,Normal,3826
807,Los Angeles,Madrid,Roma,Rio de Janeiro;Paris,154,Sim,Porão,Perdida,Normal,Atrasado,5793
808,London,São Paulo,Funchal,Cairo;London,198,Sim,Porão,Perdida,Normal,Atrasado,2352
809,Buenos Aires,Porto,Cairo,Auckland;Hong Kong;Tóquio,160,Sim,Porão,Perdida,Frágil,Normal,3235
810,Hong Kong,Funchal,Funchal,Istambul,72,Nao,Porão,Entregue,Valiosa,Atrasado,2926
811,Nova Iorque,Roma,Los Angeles,,112,Sim,Porão,Perdida,Normal,Normal,5139
812,Barcelona,Rio de Janeiro,Rio de Janeiro,Buenos Aires,13,Nao,Cabine,Entregue,Valiosa,Normal,5995
813,Buenos Aires,Istambul,Istambul,Porto;Nova Iorque,45,Nao,Cabine,Entregue,Valiosa,Normal,7830
814,Funchal,Tóquio,Tóquio,Paris;Nova Iorque;Rio de Janeiro,61,Nao,Porão,Entregue,Normal,Atrasado,9076
815,Cairo,Tóquio,Tóquio,Dubai,12,Nao,Cabine,Entregue,Frágil,Normal,774
816,Lisboa,Sydney,Sydney,,14,Nao,Porão,Entregue,Normal,Atrasado,9182
817,Bangkok,Funchal,Madrid,Buenos Aires;Tóquio,125,Sim,Porão,Perdida,Normal,Atrasado,6331
818,Moscovo,Los Angeles,Los Angeles,Madrid;Buenos Aires,19,Nao,Porão,Entregue,Frágil,Normal,4257
819,Berlim,Paris,Paris,,157,Sim,Cabine,Perdida,Valiosa,Atrasado,3369
820,Hong Kong,Istambul,Berlim,Paris;Berlim,15,Nao,Porão,Em trânsito,Normal,Normal,7779
821,Barcelona,Auckland,Auckland,Los Angeles;Berlim;Funchal,199,Sim,Cabine,Perdida,Normal,Normal,1911
822,Auckland,Moscovo,Moscovo,,29,Nao,Porão,Entregue,Frágil,Cancelado,8126
823,Berlim,Los Angeles,Auckland,Barcelona,200,Sim,Porão,Perdida,Frágil,Normal,7210
824,Funchal,Porto,Cairo,Istambul;Cairo;Madrid,12,Nao,Porão,Em trânsito,Normal,Normal,8382
825,Funchal,Istambul,Istambul,,66,Nao,Porão,Entregue,Valiosa,Cancelado,694
826,Los Angeles,Cairo,Cairo,,47,Nao,Porão,Entregue,Normal,Cancelado,3468
827,Madrid,Roma,Roma,,16,Nao,Porão,Entregue,Normal,Atrasado,8158
828,Moscovo,Auckland,Auckland,Los Angeles;Barcelona,130,Sim,Cabine,Perdida,Normal,Atrasado,8950
829,Tóquio,Dubai,Cairo,São Paulo;Barcelona,138,Sim,Porão,Perdida,Frágil,Atrasado,3087
830,Roma,Rio de Janeiro,Rio de Janeiro,Barcelona;Hong Kong,34,Nao,Cabine,Em trânsito,Normal,Atrasado,9748
831,São Paulo,Sydney,São Paulo,Cairo;Tóquio;Istambul,145,Sim,Porão,Perdida,Normal,Normal,1340
832,Lisboa,Funchal,Sydney,Sydney,22,Sim,Porão,Em trânsito,Valiosa,Atrasado,3047
833,Roma,Paris,Auckland,Istambul,186,Sim,Porão,Perdida,Frágil,Normal,8912
834,Cairo,London,São Paulo,Paris,151,Sim,Porão,Perdida,Normal,Normal,8079
835,Nova Iorque,Paris,Nova Iorque,London;Nova Iorque,45,Nao,Porão,Em trânsito,Normal,Atrasado,1520
836,Buenos Aires,Auckland,Auckland,Dubai,62,Nao,Cabine,Entregue,Normal,Atrasado,6010
837,London,Bangkok,Bangkok,Barcelona;Lisboa;Buenos Aires,34,Nao,Porão,Entregue,Frágil,Cancelado,2437
838,Sydney,Lisboa,Lisboa,Los Angeles;Madrid;São Paulo,59,Nao,Porão,Entregue,Valiosa,Atrasado,6619
839,Dubai,Porto,Porto,Paris;Berlim;Rio de Janeiro,12,Nao,Cabine,Em trânsito,Normal,Normal,3150
840,Lisboa,Barcelona,Moscovo,,186,Sim,Porão,Perdida,Normal,Normal,5698
841,Istambul,Rio de Janeiro,Rio de Janeiro,,10,Nao,Cabine,Entregue,Normal,Atrasado,6803
842,São Paulo,Rio de Janeiro,Rio de Janeiro,,67,Nao,Porão,Entregue,Normal,Normal,6496
843,Sydney,Barcelona,Barcelona,Madrid;Sydney;Moscovo,30,Nao,Cabine,Em trânsito,Normal,Normal,7128
844,Auckland,Buenos Aires,Cairo,Cairo,40,Nao,Porão,Em trânsito,Normal,Normal,1769
845,London,Cairo,Cairo,,19,Nao,Cabine,Entregue,Frágil,Normal,4301
846,Bangkok,Madrid,Madrid,Los Angeles;Cairo,19,Nao,Porão,Entregue,Frágil,Cancelado,5942
847,Buenos Aires,Istambul,Istambul,,10,Nao,Porão,Entregue,Valiosa,Normal,3612
848,Nova Iorque,Dubai,Dubai,Auckland,28,Nao,Cabine,Em trânsito,Normal,Normal,6178
849,Los Angeles,Hong Kong,Nova Iorque,Porto;Nova Iorque,16,Nao,Porão,Em trânsito,Normal,Normal,4534
850,Los Angeles,Moscovo,Moscovo,São Paulo;Lisboa,27,Nao,Porão,Entregue,Normal,Normal,9487
851,Rio de Janeiro,Roma,São Paulo,Funchal;Berlim,193,Sim,Porão,Perdida,Valiosa,Normal,5489
852,Berlim,Cairo,Cairo,Moscovo;Berlim;Sydney,16,Sim,Cabine,Em trânsito,Frágil,Atrasado,1757
853,Madrid,Bangkok,Bangkok,Los Angeles;Moscovo,24,Nao,Porão,Entregue,Valiosa,Cancelado,8395
854,Madrid,Paris,Paris,Rio de Janeiro;Sydney,35,Nao,Porão,Entregue,Frágil,Atrasado,7127
855,Cairo,Barcelona,Funchal,,174,Sim,Porão,Perdida,Normal,Atrasado,2033
856,Buenos Aires,Moscovo,Moscovo,Auckland,66,Nao,Cabine,Entregue,Normal,Atrasado,7057
857,Paris,Dubai,Dubai,,40,Nao,Cabine,Entregue,Normal,Atrasado,9906
858,Cairo,Hong Kong,Sydney,São Paulo;London;Cairo,119,Sim,Porão,Perdida,Frágil,Atrasado,4946
859,Istambul,Nova Iorque,Nova Iorque,Buenos Aires;Funchal,196,Sim,Cabine,Perdida,Normal,Atrasado,6483
860,London,Tóquio,Tóquio,,13,Nao,Porão,Entregue,Normal,Normal,5151
861,São Paulo,Roma,Roma,,35,Nao,Porão,Entregue,Normal,Normal,8758
862,Lisboa,São Paulo,São Paulo,Porto;Paris;Lisboa,161,Sim,Cabine,Perdida,Normal,Atrasado,4275
863,Berlim,Bangkok,Porto,Porto;Tóquio,10,Sim,Porão,Em trânsito,Frágil,Atrasado,715
864,Hong Kong,Moscovo,Moscovo,Dubai;São Paulo,36,Nao,Porão,Entregue,Valiosa,Atrasado,5387
865,Roma,Madrid,Madrid,,176,Sim,Cabine,Perdida,Valiosa,Normal,3900
866,Madrid,Buenos Aires,Buenos Aires,,65,Nao,Porão,Entregue,Valiosa,Cancelado,7401
867,Dubai,Buenos Aires,Buenos Aires,,36,Nao,Porão,Entregue,Normal,Atrasado,2503
868,Dubai,Barcelona,Barcelona,Bangkok,124,Sim,Cabine,Perdida,Normal,Normal,6031
869,Hong Kong,Berlim,Berlim,Moscovo,30,Nao,Porão,Entregue,Frágil,Normal,7728
870,Buenos Aires,Sydney,Sydney,Paris,42,Nao,Cabine,Entregue,Normal,Atrasado,5447
871,Buenos Aires,Madrid,Madrid,Barcelona;São Paulo,166,Sim,Cabine,Perdida,Normal,Normal,8241
872,Moscovo,Paris,Paris,Sydney,52,Nao,Porão,Entregue,Frágil,Normal,1297
873,Funchal,Porto,Dubai,Barcelona;Cairo,179,Sim,Porão,Perdida,Valiosa,Normal,5062
874,Nova Iorque,Barcelona,Barcelona,Moscovo;Nova Iorque;Auckland,51,Nao,Porão,Entregue,Valiosa,Normal,9741
